ModemType,HasRouter,RouterType,RouterSoftware,Subscription,Ping,TestDownload,TestUpload,ConnectionType,NetworkCard,ExternalNIC,Processor,Activities,Advice
Technicolor TC7210,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,204.5,20.6,Netwerkkabel,Intel l217-V,Nee,Intel Core i5-4460,Gamen,Geen verbetering
Technicolor TC7200,Ja,Apple AirPort,Unknown,400 Mbit/s down - 40 Mbit/s up,20,344,41,Netwerkkabel,Apple Broadcom,Nee,Intel Core i7,Surfen (websites bezoeken),Veranderen van modem
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,203,20.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Pentium G3420,Downloaden,Veranderen van hardware
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,250 Mbit/s down - 40 Mbit/s up,14,247,40,"Wifi via 5,0 GHz frequentieband",Broadcom 802.11,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,D-Link,Unknown,250 Mbit/s down - 25 Mbit/s up,9,255,26,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD FX8320,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,42,20,"Wifi via 5,0 GHz frequentieband",Intel N6205,Nee,Intel Core i5,Downloaden,Veranderen van netwerkmedium
Technicolor TC7210,Ja,Apple AirPort,Unknown,400 Mbit/s down - 40 Mbit/s up,12,413,41,Netwerkkabel,Intel I217-V,Nee,Intel Core i5-4460,(video)streamen,Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,12,40.3,40.9,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-6700,Surfen (websites bezoeken),Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,7,207,20,Netwerkkabel,Killer E2200,Nee,AMD FX8370,Gamen,Geen verbetering
Cisco EPC3925,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,189,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i3-4160,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,Apple AirPort,Unknown,400 Mbit/s down - 40 Mbit/s up,19,408,40,Netwerkkabel,Apple Broadcom,Nee,Intel Core i7,(video)streamen,Overbelasting voor het netwerk
Technicolor TC7210,Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,17,43,4,"Wifi via 2,4 GHz frequentieband",Apple Broadcom,Ja,Intel Core i5,Surfen (websites bezoeken),Veranderen van netwerkmedium
Cisco EPC3925,Ja,tp link deco mesh systeem,Unknown,400 Mbit/s down - 40 Mbit/s up,14,130,24,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Ja,Intel Core i5-8250u,Gamen,Veranderen van modem
Mediabox XL (7401),Ja,Synolgy router,Unknown,400 Mbit/s down - 40 Mbit/s up,25,350,3,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i3,(video)streamen,Overbelasting voor het netwerk
Technicolor TC7200,Ja,Technicolor TC7200,Unknown,250 Mbit/s down - 25 Mbit/s up,8,253,25,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-2600,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Sitecom x6 n900,Unknown,400 Mbit/s down - 40 Mbit/s up,13,93,40,"Wifi via 5,0 GHz frequentieband",Intel AC3168,Nee,Intel Core i7-7500u,(video)streamen,Veranderen van netwerkmedium
